==================================================================================
gen|  eval  |    f_opt    |    f_max    |    f_avg    |    f_min    |    f_std    
----------------------------------------------------------------------------------
 0 |   50   |  12.965662  |  19.763212  |  14.993718  |  12.965662  |  2.2000875  
 1 |  100   |  12.965662  |   21.07382  |  16.554306  |  12.965662  |  2.1943028  
 2 |  150   |  10.869086  |   21.97938  |  15.586544  |  10.869086  |  2.7355402  
 3 |  200   |   9.839884  |  21.277128  |  14.848215  |   9.839884  |  2.6667855  
 4 |  250   |   9.640878  |  21.277128  |  13.704109  |   9.640878  |  2.3430948  
 5 |  300   |   9.481377  |  17.830969  |  12.485245  |   9.481377  |  2.1474776  
 6 |  350   |   9.481377  |  17.830969  |  12.170321  |   9.481377  |  2.1506906  
 7 |  400   |   9.338705  |  17.743063  |  11.646511  |   9.338705  |  2.0234756  
 8 |  450   |   9.338705  |  17.648905  |   11.34146  |   9.338705  |  1.7872525  
 9 |  500   |   9.322818  |  17.648905  |  11.141545  |   9.322818  |  1.7345245  
 10|  550   |   9.322818  |  17.648905  |  10.938633  |   9.322818  |  1.7702779  
 11|  600   |  9.3225975  |  17.648905  |   10.67927  |  9.3225975  |  1.7837017  
 12|  650   |  9.3181305  |  17.648905  |  10.454029  |  9.3181305  |  1.7321488  
 13|  700   |   9.317898  |  17.648905  |  10.288824  |   9.317898  |  1.7337621  
 14|  750   |   9.307247  |  17.648905  |   9.949987  |   9.307247  |  1.3600562  
 15|  800   |   9.293648  |  12.559027  |   9.671168  |   9.293648  |  0.63616395 
 16|  850   |  9.2889595  |  12.559027  |   9.575517  |  9.2889595  |  0.5812078  
 17|  900   |  9.2889595  |  11.0135765 |   9.456259  |  9.2889595  |  0.2675119  
 18|  950   |  9.2889595  |   9.786749  |   9.392535  |  9.2889595  |  0.10827331 
 19|  1000  |  9.2889595  |   9.786749  |   9.375264  |  9.2889595  | 0.104840726 
 20|  1050  |    9.2869   |   9.786749  |   9.366438  |    9.2869   | 0.104172416 
 21|  1100  |    9.2869   |   9.786749  |   9.349898  |    9.2869   |  0.08538301 
 22|  1150  |    9.2869   |   9.786749  |   9.345908  |    9.2869   |  0.08652996 
 23|  1200  |   9.285154  |   9.786749  |   9.339671  |   9.285154  |  0.0865808  
 24|  1250  |   9.285154  |   9.786749  |   9.330292  |   9.285154  |  0.0809394  
 25|  1300  |   9.285046  |   9.786749  |   9.32297   |   9.285046  |  0.0738861  
 26|  1350  |   9.285046  |   9.45023   |   9.311598  |   9.285046  | 0.033064973 
 27|  1400  |   9.285046  |   9.45023   |   9.309556  |   9.285046  | 0.031695697 
 28|  1450  |   9.285046  |   9.45023   |   9.305713  |   9.285046  | 0.030727869 
 29|  1500  |   9.285046  |   9.414937  |   9.301109  |   9.285046  | 0.023309465 
 30|  1550  |   9.285046  |   9.414937  |   9.298659  |   9.285046  | 0.021165244 
 31|  1600  |   9.285046  |   9.414937  |   9.297737  |   9.285046  | 0.021229483 
 32|  1650  |   9.284065  |   9.352462  |   9.293512  |   9.284065  |  0.0129736  
 33|  1700  |   9.284065  |   9.352462  |   9.292727  |   9.284065  | 0.012797931 
 34|  1750  |   9.283501  |   9.341076  |   9.291183  |   9.283501  | 0.010858312 
 35|  1800  |   9.283501  |   9.341076  |   9.290581  |   9.283501  | 0.010834606 
 36|  1850  |   9.283501  |   9.33354   |   9.289439  |   9.283501  | 0.0081196595
 37|  1900  |   9.283501  |   9.33354   |   9.289151  |   9.283501  | 0.008157877 
 38|  1950  |   9.283447  |   9.33354   |   9.288405  |   9.283447  | 0.0076832324
 39|  2000  |   9.283447  |   9.304878  |   9.287034  |   9.283447  | 0.0043451143
 40|  2050  |   9.283447  |   9.304878  |   9.286777  |   9.283447  | 0.004361943 
 41|  2100  |   9.283447  |   9.304878  |   9.286419  |   9.283447  | 0.004212683 
 42|  2150  |   9.283447  |   9.304878  |   9.285717  |   9.283447  | 0.0035078875
 43|  2200  |   9.283447  |   9.304878  |   9.285335  |   9.283447  | 0.0033682245
 44|  2250  |   9.283319  |   9.304878  |   9.285185  |   9.283319  | 0.003364901 
 45|  2300  |   9.283286  |   9.304878  |   9.285018  |   9.283286  | 0.0033846237
 46|  2350  |   9.283286  |   9.292285  |   9.284427  |   9.283286  | 0.001523892 
 47|  2400  |   9.283286  |   9.288017  |   9.284244  |   9.283286  | 0.0010411371
 48|  2450  |   9.283286  |   9.288017  |   9.28412   |   9.283286  | 0.0009370584
 49|  2500  |   9.283286  |   9.286404  |   9.283906  |   9.283286  | 0.0006281112
 50|  2550  |   9.283286  |   9.286404  |   9.283872  |   9.283286  | 0.0006450543
 51|  2600  |   9.283262  |   9.286404  |   9.283823  |   9.283262  | 0.0006552638
 52|  2650  |   9.283262  |   9.285612  |   9.283748  |   9.283262  | 0.0005445422
 53|  2700  |   9.283262  |   9.285612  |   9.283711  |   9.283262  |0.00050970586
 54|  2750  |   9.283262  |  9.2850895  |   9.283657  |   9.283262  |0.00044620843
 55|  2800  |   9.283262  |  9.2850895  |   9.283655  |   9.283262  |0.00044594897
 56|  2850  |   9.283262  |  9.2850895  |  9.2836075  |   9.283262  | 0.0004397052
 57|  2900  |   9.283262  |  9.2850895  |   9.283566  |   9.283262  | 0.0004222229
 58|  2950  |   9.283262  |  9.2850895  |   9.283522  |   9.283262  | 0.0003928567
 59|  3000  |   9.283262  |  9.2850895  |   9.28352   |   9.283262  |0.00039433563
 60|  3050  |   9.283262  |  9.2850895  |   9.283513  |   9.283262  | 0.0003949588
 61|  3100  |   9.283262  |   9.284669  |   9.283489  |   9.283262  |0.00035346075
 62|  3150  |   9.283262  |   9.284669  |   9.283463  |   9.283262  |0.00032885728
 63|  3200  |   9.283262  |  9.2842865  |   9.283413  |   9.283262  |0.00024160826
 64|  3250  |   9.283262  |  9.2842865  |   9.283409  |   9.283262  |0.00024118512
 65|  3300  |   9.283262  |   9.284269  |   9.283375  |   9.283262  |0.00020750875
 66|  3350  |   9.283262  |   9.284208  |   9.283348  |   9.283262  |0.00016373758
 67|  3400  |   9.283262  |   9.283754  |   9.283318  |   9.283262  |8.7216635e-05
 68|  3450  |   9.28326   |   9.283539  |   9.283304  |   9.28326   | 6.083889e-05
 69|  3500  |   9.28326   |   9.283497  |   9.283296  |   9.28326   | 4.805572e-05
 70|  3550  |   9.28326   |   9.283497  |   9.283291  |   9.28326   |4.7178837e-05
 71|  3600  |   9.283259  |   9.283497  |   9.283283  |   9.283259  |3.9012855e-05
 72|  3650  |   9.283259  |   9.283497  |   9.28328   |   9.283259  |3.7790298e-05
 73|  3700  |   9.283258  |   9.283497  |   9.283277  |   9.283258  |3.6762383e-05
 74|  3750  |   9.283258  |  9.2833605  |   9.28327   |   9.283258  |1.7631888e-05
 75|  3800  |   9.283258  |  9.2833605  |   9.283268  |   9.283258  |1.7239625e-05
